,全岩宽度10,全岩宽度5,全煤宽度10,全煤宽度5,accuracy,macro avg,weighted avg
precision,1.0,1.0,0.8695652173913043,1.0,0.9625,0.967391304347826,0.967391304347826
recall,1.0,1.0,1.0,0.85,0.9625,0.9625,0.9625
f1-score,1.0,1.0,0.9302325581395349,0.9189189189189189,0.9625,0.9622878692646134,0.9622878692646134
support,100.0,100.0,100.0,100.0,0.9625,400.0,400.0
